original_,original_Location,lat,lon,formatted,housenumber,name,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
170,"Acland Street and Acland Street Streatfild Street, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
171,"St. Paul's Road, Islington, n1, London, UK",51.5338122,0.077007,"St Paul's Road, London, IG11 7LD, United Kingdom",,St Paul's Road,St Paul's Road,IG11 7LD,London Borough of Barking and Dagenham,,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
172,"Harrow Road, w2, London, UK",51.5593475,0.0133062,"Harrow Road, London, E11 3QE, United Kingdom",,Harrow Road,Harrow Road,E11 3QE,London Borough of Waltham Forest,Wanstead Slip,,London,Greater London,England,ENG,United Kingdom,gb,0.32319,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
173,"42 Norman Road, Greenwich, SE10, London, UK",51.561840849999996,0.0036342248954074944,"42 Norman Road, London, E11 4PX, United Kingdom",42,,Norman Road,E11 4PX,London Borough of Waltham Forest,Wanstead Slip,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
174,"293 Leighham Court Road, Streatham, SW16, London, UK",,,,,,,,,,,,,,,,,,,,,,
175,"218 Leigham Court Road, Streatham, Sw16, London, UK",51.4290681,-0.114382,"218 Leigham Court Road, London, S W16, United Kingdom",218,,Leigham Court Road,S W16,Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
176,"190 Underhill Road, East Dulwich, SE22, London, UK",51.4519335,-0.0653884,"190 Underhill Road, London, S E22, United Kingdom",190,,Underhill Road,S E22,Southwark,East Dulwich,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
177,"Garratt Lane, Tooting SW17, London, UK",51.428095,-0.168108,"Garratt Lane, London, S W17, United Kingdom",,,Garratt Lane,S W17,Wandsworth,Tooting,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
178,"Crownstone Road, Brixton, SW2, London, UK",51.4569568,-0.1150748,"Crownstone Road, London, SW2 1LJ, United Kingdom",,Crownstone Road,Crownstone Road,SW2 1LJ,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
179,"Longfellow Road e3, London, UK",51.575715,-0.0253781,"Longfellow Road, London, E17 8DP, United Kingdom",,Longfellow Road,Longfellow Road,E17 8DP,London Borough of Waltham Forest,Leyton,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
180,"110 Kimberlet Avenue, Camberwell SE15, London, UK",51.46646265,-0.03263665000000261,"110 Manor Avenue, London, SE4 1UU, United Kingdom",110,,Manor Avenue,SE4 1UU,London Borough of Lewisham,New Cross,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
181,"Riverside Greenwich SE10, London, UK",51.4934438,0.0247335,"Riverside, London, SE7 7SG, United Kingdom",,Riverside,Riverside,SE7 7SG,Royal Borough of Greenwich,Charlton Riverside,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
182,"Parkhouse Street, Peckham, SE15, London, UK",51.4808296,-0.0869693,"Parkhouse Street, London, SE5 7TR, United Kingdom",,Parkhouse Street,Parkhouse Street,SE5 7TR,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
183,"Maudsley Hospital, Denmark Hill, Southwark, London SE5 8AZ, London, UK",51.4673606,-0.0909627,"Denmark Hill, London, SE5 8EN, United Kingdom",,Denmark Hill,Denmark Hill,SE5 8EN,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
184,"1 Uffington Road, West Noorwood, SE27, London, UK",51.4302805,-0.1118377,"Uffington Road, London, SE27 0ND, United Kingdom",,Uffington Road,Uffington Road,SE27 0ND,London Borough of Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
185,"900 Garratt Lane, Tooting, SW17, London, UK",51.4292961,-0.17223566894139755,"900 Garratt Lane, London, SW17 0NB, United Kingdom",900,,Garratt Lane,SW17 0NB,London Borough of Wandsworth,Tooting Graveney,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
186,"112 Downton Avenue, Streatham Hill, SW2, London, UK",51.4395957,-0.1210579,"Downton Avenue, London, SW2 3TT, United Kingdom",,Downton Avenue,Downton Avenue,SW2 3TT,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
187,"Hillside Road, Tulse Hill, SW2, London, UK",51.4410956,-0.1129515,"Hillside Road, London, SW2 3EE, United Kingdom",,Hillside Road,Hillside Road,SW2 3EE,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
188,"52 Palace Road, Tulse Hill, SW2, London, UK",51.458866549999996,-0.0714570995292662,"52 Crystal Palace Road, London, SE22 9EX, United Kingdom",52,,Crystal Palace Road,SE22 9EX,London Borough of Southwark,East Dulwich,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
189,"Leigham Courrt Road, Streatham SW16, London, UK",51.428709,-0.114467,"Leigham Court Road, London, S W16, United Kingdom",,,Leigham Court Road,S W16,Lambeth,West Norwood,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
190,"45 Furthergreen Road, Catford, SE13, London, UK",51.450094750000005,-0.018287437071535677,"45 Blagdon Road, London, SE13 7HL, United Kingdom",45,,Blagdon Road,SE13 7HL,London Borough of Lewisham,Ladywell,,London,Greater London,England,ENG,United Kingdom,gb,0.30618000000000006,0.63,0.5670000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
191,"4 Knatchbull Road, Camberwell, SE5, London, UK",51.4747411,-0.0964289,"Knatchbull Road, London, SE24 0XT, United Kingdom",,Knatchbull Road,Knatchbull Road,SE24 0XT,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
192,"20 County Grove,  SE5, London, UK",51.4754544,-0.0987237,"County Grove, Grove, London, SE5 9LF, United Kingdom",,County Grove,County Grove,SE5 9LF,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
193,"County Grove SW5, London, UK",51.4754544,-0.0987237,"County Grove, Grove, London, SE5 9LF, United Kingdom",,County Grove,County Grove,SE5 9LF,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
194,"County Grove SW5, London, UK",51.4754544,-0.0987237,"County Grove, Grove, London, SE5 9LF, United Kingdom",,County Grove,County Grove,SE5 9LF,London Borough of Southwark,Camberwell,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
195,"Longfellow Road e3, London, UK",51.575715,-0.0253781,"Longfellow Road, London, E17 8DP, United Kingdom",,Longfellow Road,Longfellow Road,E17 8DP,London Borough of Waltham Forest,Leyton,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
196,"Sandmere Road, Clapham, SW4, London, UK",51.4623679,-0.1249026,"Sandmere Road, London, SW4 7QH, United Kingdom",,Sandmere Road,Sandmere Road,SW4 7QH,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
197,"Acre Lane, Brixton, SW2, London, UK",51.4596544,-0.1229503,"Acre Lane, London, SW2 5RA, United Kingdom",,Acre Lane,Acre Lane,SW2 5RA,London Borough of Lambeth,Clapham Park,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
198,"22-24, Pllumstead Road, Plumstead SE18, London, UK",51.430233599999994,0.12633638816326176,"22,24 St. Andrew's Road, London, DA14 4SA, United Kingdom","22,24",,St. Andrew's Road,DA14 4SA,Bexley,Albany Park,,London,Greater London,England,ENG,United Kingdom,gb,0.2835,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
199,"29-65 Haddo Street, Greenwich SE10, London, UK",51.4808618,-0.0136165,"Haddo Street, London, SE10 9RJ, United Kingdom",,Haddo Street,Haddo Street,SE10 9RJ,Royal Borough of Greenwich,,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
200,"253 Leigham Court Road, Streatham, SW16, London, UK",51.4379321,-0.1266325,"Leigham Court Road, London, SW16 2ND, United Kingdom",,Leigham Court Road,Leigham Court Road,SW16 2ND,London Borough of Lambeth,Streatham Hill,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
201,"Flat 5, 17, Cranworth Gardens, Brixton, SW9, London, UK",51.4756781,-0.1140096,"Cranworth Gardens, London, SW9 0NZ, United Kingdom",,Cranworth Gardens,Cranworth Gardens,SW9 0NZ,London Borough of Lambeth,Oval,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
202,"Clinton Road, Tower Hamlets London E3, London, UK",51.5520902,0.0224089,"Clinton Road, London, E7 0ET, United Kingdom",,Clinton Road,Clinton Road,E7 0ET,London Borough of Newham,Forest Gate,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
203,"Southwark, London SE1, London, UK",51.50588705,-0.09666479895992489,"Southwark Street Estate, The Borough, London, ENG, United Kingdom",,Southwark Street Estate,,,London Borough of Southwark,The Borough,,London,Greater London,England,ENG,United Kingdom,gb,0.7290000000000001,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
204,"Newington Causeway, London SE1, , London, UK",51.495705,-0.100347,"Newington Causeway, London, SE1, United Kingdom",,,Newington Causeway,SE1,Southwark,Elephant and Castle,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
205,"Caldwell Street, Brixton SW9, London, UK",51.4768909,-0.1137905,"Caldwell Street, London, SW9 0HB, United Kingdom",,Caldwell Street,Caldwell Street,SW9 0HB,London Borough of Lambeth,Oval,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
206,"Caldwell St, London, UK
Lambeth, London SW9, London, UK",51.47696,-0.114802,"Caldwell Street, London, SW9, United Kingdom",,,Caldwell Street,SW9,Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
207,"Caldwell St, London, UK
Lambeth, London SW9, London, UK",51.47696,-0.114802,"Caldwell Street, London, SW9, United Kingdom",,,Caldwell Street,SW9,Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
208,"157 Ernest Street, E1, London, UK",51.5212984,-0.0433379,"Ernest Street, London, E1 4QT, United Kingdom",,Ernest Street,Ernest Street,E1 4QT,London Borough of Tower Hamlets,Stepney,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
209,"Emmett Street E14, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
210,"Odessa St, Southwark, London SE16, London, UK",51.497968,-0.033732,"Odessa Street, London, S E16, United Kingdom",,,Odessa Street,S E16,Southwark,Surrey Quays,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
211,"Bazeley Street, Poplar E14, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.11607142857142856,0.14285714285714285,,,,https://www.whosonfirst.org/docs/licenses/
212,"4 Southey Road, Brixton SW9, London, UK",51.4169401,-0.1973407,"Southey Road, London, SW19 1NR, United Kingdom",,Southey Road,Southey Road,SW19 1NR,London Borough of Merton,South Wimbledon,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
213,"Southey Road, Brixton SW9, London, UK",51.4762426,-0.1135518,"Southey Road, London, SW9 0PE, United Kingdom",,Southey Road,Southey Road,SW9 0PE,London Borough of Lambeth,Oval,,London,Greater London,England,ENG,United Kingdom,gb,0.63,0.7,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
214,"Southey Road, Brixton SW9, London, UK",51.4762426,-0.1135518,"Southey Road, London, SW9 0PE, United Kingdom",,Southey Road,Southey Road,SW9 0PE,London Borough of Lambeth,Oval,,London,Greater London,England,ENG,United Kingdom,gb,0.63,0.7,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
215,"146-150, Brixton Road, SW9, London, UK",51.475304021904755,-0.11286040411718366,"146 Brixton Road, London, SW9 6BH, United Kingdom",146,,Brixton Road,SW9 6BH,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
216,"Brixton Road, Brixton SW9, London, UK",51.4647997,-0.1141402,"Brixton Road, London, SW9 7AX, United Kingdom",,Brixton Road,Brixton Road,SW9 7AX,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
217,"Brixton Road, Brixton SW9, London, UK",51.4647997,-0.1141402,"Brixton Road, London, SW9 7AX, United Kingdom",,Brixton Road,Brixton Road,SW9 7AX,London Borough of Lambeth,Stockwell,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
218,"Pratt Walk, London, UK
Lambeth, London SE11, London, UK",51.494846,-0.117042,"Pratt Walk, London, S E11, United Kingdom",,,Pratt Walk,S E11,Lambeth,Lambeth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
219,"Tunnel Avenue, Greenwich, SE10, London, UK",51.489445,0.008867,"Tunnel Avenue, London, S E10, United Kingdom",,,Tunnel Avenue,S E10,Greenwich,Westcombe Park,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
220,"56 Rogers Road, Tooting, SW17, London, UK",51.4300875,-0.16881786788301187,"56 Selkirk Road, London, SW17 0EP, United Kingdom",56,,Selkirk Road,SW17 0EP,London Borough of Wandsworth,Tooting Graveney,,London,Greater London,England,ENG,United Kingdom,gb,0.2825206363636364,0.3969,0.35720999999999997,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
221,"Deptford Church Street, SE8, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5151515151515151,1,,,,https://www.whosonfirst.org/docs/licenses/
222,"18 Hereford Street, Bethnal Green, e2, London, UK",51.5240868,-0.0661087,"Hereford Street, London, E2 6EJ, United Kingdom",,Hereford Street,Hereford Street,E2 6EJ,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
223,"Devons RD E3, London, UK",51.52339,-0.0150177,"Devons Road, London, E3 3FF, United Kingdom",,Devons Road,Devons Road,E3 3FF,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
224,"Cantrell RD E3, London, UK",51.5219695,-0.0261337,"Cantrell Road, London, E3 4BN, United Kingdom",,Cantrell Road,Cantrell Road,E3 4BN,London Borough of Tower Hamlets,Bow,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
225,"Drawdrock Road, Tunnel Avenue, Greenwich SE10, London, UK",51.489445,0.008867,"Tunnel Avenue, London, S E10, United Kingdom",,,Tunnel Avenue,S E10,Greenwich,Westcombe Park,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
226,"Lying at Pipers Wharf, Riverside, Greenwich, SE10, London, UK",51.504256,-0.026569,"Riverside South, London, S E10, United Kingdom",,,Riverside South,S E10,Tower Hamlets,Canary Wharf,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
227,"Sandford Street SE14, London, UK",51.5012808,-0.09263064731729923,"St George the Martyr, Borough High Street, London, SE1 1AA, United Kingdom",,St George the Martyr,Borough High Street,SE1 1AA,London Borough of Southwark,The Borough,,London,Greater London,England,ENG,United Kingdom,gb,0.3969,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
228,"Culloden Street, E14, London, UK",51.5135991,-0.0077682,"Culloden Street, London, E14 0PD, United Kingdom",,Culloden Street,Culloden Street,E14 0PD,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
229,"239 East India Dock Road, Poplar, E14, London, UK",51.5114835,-0.0106567,"Grill & Shakes, 239 East India Dock Road, London, E14 0EG, United Kingdom",239,Grill & Shakes,East India Dock Road,E14 0EG,London Borough of Tower Hamlets,Poplar,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
230,"Lower Buoy, Limehouse Reach E, London, UK",51.4961247,-0.0298446,"Limehouse Reach, London, E14 3RU, United Kingdom",,Limehouse Reach,,E14 3RU,London Borough of Tower Hamlets,Isle of Dogs,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
231,"Nunhead Lane, Camberwell SE15, London, UK",51.463827,-0.061768,"Nunhead Lane, London, S E15, United Kingdom",,,Nunhead Lane,S E15,Southwark,Nunhead,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
232,"Lollard Street SE11, London, UK",51.491472,-0.111996,"Lollard Street, London, S E11, United Kingdom",,,Lollard Street,S E11,Lambeth,Lambeth,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
233,"87 York Road, Lambeth SE1, London, UK",51.4682353,-0.1777384,"87 York Road, London, United Kingdom",87,,York Road,,Wandsworth,Battersea,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,,,
234,"747, Commercial RD E14, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
235,"38 Hundson Road, Newcross SE14, London, UK",51.4725552,-0.04557812426596261,"38 Pepys Road, London, SE14 5SB, United Kingdom",38,,Pepys Road,SE14 5SB,London Borough of Lewisham,New Cross Gate,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
236,"Greenfield Street, Deptford, SE8, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
237,"Sandford Street SE14, London, UK",51.5012808,-0.09263064731729923,"St George the Martyr, Borough High Street, London, SE1 1AA, United Kingdom",,St George the Martyr,Borough High Street,SE1 1AA,London Borough of Southwark,The Borough,,London,Greater London,England,ENG,United Kingdom,gb,0.3969,1,0.3969,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
238,"20 Hereford Street, Bethnal Green, E2, London, UK",51.5240868,-0.0661087,"Hereford Street, London, E2 6EJ, United Kingdom",,Hereford Street,Hereford Street,E2 6EJ,London Borough of Tower Hamlets,Whitechapel,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
239,"Silwood Street Rotherhithe Se16, London, UK",51.488752,-0.051098,"Silwood Street, London, S E16, United Kingdom",,,Silwood Street,S E16,Southwark,Rotherhithe,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
240,"Island Row E14, London, UK",51.5123889,-0.0340105,"Island Row, London, E14 7FB, United Kingdom",,Island Row,Island Row,E14 7FB,London Borough of Tower Hamlets,Limehouse,,London,Greater London,England,ENG,United Kingdom,gb,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
241,"Gallions Reach, Woolwich, S.E, London, UK",51.5086905,0.07332292626057471,"Gallions Reach, Cyprus, London, ENG, United Kingdom",,Gallions Reach,,,London Borough of Newham,Cyprus,,London,Greater London,England,ENG,United Kingdom,gb,0,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
242,"Avonley Road, Newcross, SE14, London, UK",51.478873,-0.050414,"Avonley Road, London, S E14, United Kingdom",,,Avonley Road,S E14,Lewisham,New Cross Gate,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
243,"47 Ordnance Crescent, Greenwich  SE10, London, UK",51.5009845,0.0013941,"Ordnance Crescent, London, SE10 0QH, United Kingdom",,Ordnance Crescent,Ordnance Crescent,SE10 0QH,Royal Borough of Greenwich,Greenwich Peninsula,,London,Greater London,England,ENG,United Kingdom,gb,0.63,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
244,"Berkshire Eoad, Hackney Wick E9, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,,,,https://www.whosonfirst.org/docs/licenses/
245,"9 Franklin Street, Bromley, E3, London, UK",50.7184485,-3.5249276,"9 Franklin Street, Exeter, EX2 4HF, United Kingdom",9,,Franklin Street,EX2 4HF,,St Leonards,DEV,Exeter,Devon,England,ENG,United Kingdom,gb,0.5588235294117647,,,,,
246,"Trinity Wharf Buoy, Limehouse Reach. E., London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
247,"Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E, London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
248,"Rotherhithe Wharf, Rotherhithe Street, lower Pool, S.E, London, UK",51.509648,-0.099076,"London, London Ceremonial County, ENG, United Kingdom",,,,,,,,London,Greater London Ceremonial County,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
249,"Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E, London, UK",51.24572,-1.45959,"Little London, Hampshire, ENG, United Kingdom",,,,,Smannell,,HAM,Little London,Hampshire,England,ENG,United Kingdom,gb,0.37800000000000006,0.5670000000000001,,,CC BY 4.0,https://www.geonames.org/datasources/
250,"Commercial Dock Pier, Rotherhithe Street, Limehouse Reach, S.E, London, UK",51.24572,-1.45959,"Little London, Hampshire, ENG, United Kingdom",,,,,Smannell,,HAM,Little London,Hampshire,England,ENG,United Kingdom,gb,0.37800000000000006,0.5670000000000001,,,CC BY 4.0,https://www.geonames.org/datasources/
251,"Evelina Road, Camberwell, SE15, London, UK",51.4136392,-0.052559,"Evelina Road, London, SE20 8RS, United Kingdom",,Evelina Road,Evelina Road,SE20 8RS,London Borough of Bromley,Penge,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
252,"4 Stangate Street SE1, London, UK",51.513263,-0.089878,"City of London, London, ENG, United Kingdom",,City of London,,,City of London,,,London,Greater London,England,ENG,United Kingdom,gb,0.25,1,,,,https://www.whosonfirst.org/docs/licenses/
253,"Victoria Way Charlton, 266, Woolwich Road, Charlton, SE7, London, UK",51.481828,0.0308585,"Victoria Way, London, SE7 7NA, United Kingdom",,Victoria Way,Victoria Way,SE7 7NA,Royal Borough of Greenwich,Charlton,,London,Greater London,England,ENG,United Kingdom,gb,0.33333333333333337,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
254,"1-9 Seward Street, EC1, London, UK",51.5260043,-0.0987196,"Seward Street, London, EC1V 3NW, United Kingdom",,Seward Street,Seward Street,EC1V 3NW,London Borough of Islington,Clerkenwell,,London,Greater London,England,ENG,United Kingdom,gb,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
255,"114 Lower March, Lambeth, Se11, London, UK",51.55383415,-0.05337118111213365,"Malinka, 114 Lower Clapton Road, London, E5 0QR, United Kingdom",114,Malinka,Lower Clapton Road,E5 0QR,London Borough of Hackney,Clapton,,London,Greater London,England,ENG,United Kingdom,gb,0.567,1,0.567,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
